iter	RMSE
0	16.06085861
1	15.95956413
2	15.85347994
3	15.75043266
4	15.64838519
5	15.5387435
6	15.4447319
7	15.3599128
8	15.27442823
9	15.18091605
10	15.09070606
11	15.00871054
12	14.91707889
13	14.82463621
14	14.72993079
15	14.65651582
16	14.56934944
17	14.47362271
18	14.38626287
19	14.29695375
20	14.20375032
21	14.12748555
22	14.04550167
23	13.96679367
24	13.88545347
25	13.80996084
26	13.72296663
27	13.64478542
28	13.57147869
29	13.48142351
30	13.40234029
31	13.32476345
32	13.24367837
33	13.17424405
34	13.09836333
35	13.03205675
36	12.95076841
37	12.88174755
38	12.8164037
39	12.7483495
40	12.66690996
41	12.60341754
42	12.53722766
43	12.46777653
44	12.39384026
45	12.32750031
46	12.26149556
47	12.19110369
48	12.12472053
49	12.05739654
50	11.98850502
51	11.92830505
52	11.87072834
53	11.8124305
54	11.74880622
55	11.68969898
56	11.62674089
57	11.5707735
58	11.50624836
59	11.45264732
60	11.39195712
61	11.33378919
62	11.27261641
63	11.21779597
64	11.15963078
65	11.10239662
66	11.04349156
67	10.99041637
68	10.93309149
69	10.8827761
70	10.83271432
71	10.77163349
72	10.71689805
73	10.66480643
74	10.61341545
75	10.56123358
76	10.50710744
77	10.4519472
78	10.40173954
79	10.34859981
80	10.29979375
81	10.24809582
82	10.19762604
83	10.14784337
84	10.10106438
85	10.05033029
86	10.00230443
87	9.953619499
88	9.912570839
89	9.85994257
90	9.813575742
91	9.766600244
92	9.716958025
93	9.670152496
94	9.624125093
95	9.585606899
96	9.540863949
97	9.496952065
98	9.451107971
99	9.405039683
100	9.362933784
101	9.322101885
102	9.28299513
103	9.24335652
104	9.200320507
105	9.163039426
106	9.116456943
107	9.075628846
108	9.03956622
109	8.997415551
110	8.957127015
111	8.923783464
112	8.886854846
113	8.850379778
114	8.810165928
115	8.76868808
116	8.7345858
117	8.695967093
118	8.664290876
119	8.626577666
120	8.59153173
121	8.561123915
122	8.525166541
123	8.487358521
124	8.453907904
125	8.427992469
126	8.393385125
127	8.359880447
128	8.3271255
129	8.297140194
130	8.264720373
131	8.233901964
132	8.201458898
133	8.168820746
134	8.137009081
135	8.100496611
136	8.073502188
137	8.045188832
138	8.01622989
139	7.983335183
140	7.951537713
141	7.921083487
142	7.891760149
143	7.865127262
144	7.83147003
145	7.803057666
146	7.772240682
147	7.744876023
148	7.718464704
149	7.687894735
150	7.664105879
151	7.640844357
152	7.6141167
153	7.58302378
154	7.556504454
155	7.529675649
156	7.499786722
157	7.475126028
158	7.454474788
159	7.426269825
160	7.404951499
161	7.380345436
162	7.352490419
163	7.326680857
164	7.304133521
165	7.280658688
166	7.259751417
167	7.235522885
168	7.216747494
169	7.193872023
170	7.165958037
171	7.140823701
172	7.121830109
173	7.09914978
174	7.074170042
175	7.048735088
176	7.023116176
177	7.003907159
178	6.978950106
179	6.959609823
180	6.937892402
181	6.913845962
182	6.891378685
183	6.868988365
184	6.850785594
185	6.827808937
186	6.801807203
187	6.777530535
188	6.757203687
189	6.738148991
190	6.719504799
191	6.697254412
192	6.679869343
193	6.660503242
194	6.643649122
195	6.628255261
196	6.606480017
197	6.585283485
198	6.568942413
199	6.552328391
200	6.534424566
201	6.520249615
202	6.504210403
203	6.484955622
204	6.465496211
205	6.447021107
206	6.425382614
207	6.405990104
208	6.38424194
209	6.365898041
210	6.350804751
211	6.330477196
212	6.312234328
213	6.294562217
214	6.280522766
215	6.26342831
216	6.24405883
217	6.228564204
218	6.213237525
219	6.198318354
220	6.185489504
221	6.175063282
222	6.161157375
223	6.146683064
224	6.134460864
225	6.123645866
226	6.112417952
227	6.097460832
228	6.081338234
229	6.065013304
230	6.052912287
231	6.039075166
232	6.024522215
233	6.010088647
234	5.99636109
235	5.981289636
236	5.965530028
237	5.951855893
238	5.938310637
239	5.923849189
240	5.909263263
241	5.897179472
242	5.884276362
243	5.872207104
244	5.85666829
245	5.845669363
246	5.836950924
247	5.824161613
248	5.813450651
249	5.801672516
250	5.787363224
251	5.77683694
252	5.767526709
253	5.756197435
254	5.741758381
255	5.729611453
256	5.716806497
257	5.707068315
258	5.696173997
259	5.6839298
260	5.672765185
261	5.661093612
262	5.648254545
263	5.638513559
264	5.628231077
265	5.615606906
266	5.605248348
267	5.597217784
268	5.589459131
269	5.578876455
270	5.570235272
271	5.559272764
272	5.548187651
273	5.537154456
274	5.523608483
275	5.511434044
276	5.502305294
277	5.491410656
278	5.479703772
279	5.469780826
280	5.462604851
281	5.447917431
282	5.437017911
283	5.428292077
284	5.415498337
285	5.407183509
286	5.397352513
287	5.387618415
288	5.376685601
289	5.366541207
290	5.357252685
291	5.349889724
292	5.340829784
293	5.331313286
294	5.321639495
295	5.311399144
296	5.303708989
297	5.293861901
298	5.285969767
299	5.274418003
300	5.265177121
301	5.256175723
302	5.246193914
303	5.238423419
304	5.230179281
305	5.220622028
306	5.214625407
307	5.206265686
308	5.197473603
309	5.187647361
310	5.180278574
311	5.172579362
312	5.165552235
313	5.158472318
314	5.151602067
315	5.143664808
316	5.134919823
317	5.127830871
318	5.119373812
319	5.111270159
320	5.103641641
321	5.093839387
322	5.085501064
323	5.075660792
324	5.068496161
325	5.059930644
326	5.052168423
327	5.043199303
328	5.035054846
329	5.027556737
330	5.019694858
331	5.009819108
332	5.003417271
333	4.996487328
334	4.990142921
335	4.98130431
336	4.974193272
337	4.964333918
338	4.956244478
339	4.948884044
340	4.943183477
341	4.935389756
342	4.930240154
343	4.923902415
344	4.91707293
345	4.910272011
346	4.902199209
347	4.89437586
348	4.888566757
349	4.882617925
350	4.874410012
351	4.865754646
352	4.860385831
353	4.855763737
354	4.850037971
355	4.843046153
356	4.836208732
357	4.829475773
358	4.824353039
359	4.8196593
360	4.81351814
361	4.805177867
362	4.799510149
363	4.792739905
364	4.784889919
365	4.779217529
366	4.774764829
367	4.769948758
368	4.762456042
369	4.755945851
370	4.749922359
371	4.742286063
372	4.734792253
373	4.72889178
374	4.724734012
375	4.718176215
376	4.712297413
377	4.705090329
378	4.700144499
379	4.694381291
380	4.688512559
381	4.680153652
382	4.672942898
383	4.667529945
384	4.661360515
385	4.656574678
386	4.649855672
387	4.645127396
388	4.639386688
389	4.633705036
390	4.626336426
391	4.62035441
392	4.614540334
393	4.608836224
394	4.603935302
395	4.598077588
396	4.59375903
397	4.58843056
398	4.583343464
399	4.578137643
400	4.574037766
401	4.567963149
402	4.562895365
403	4.556727763
404	4.55031687
405	4.545489407
406	4.539158542
407	4.533575623
408	4.52716386
409	4.520681973
410	4.515360066
411	4.510773254
412	4.505816967
413	4.501568238
414	4.496215057
415	4.490563695
416	4.486821072
417	4.483127124
418	4.476742518
419	4.469707897
420	4.465774257
421	4.461371351
422	4.454111216
423	4.451181372
424	4.446304639
425	4.442774316
426	4.438338087
427	4.432197456
428	4.426501577
429	4.423439218
430	4.419081833
431	4.414254026
432	4.408803899
433	4.40370812
434	4.399882705
435	4.394818234
436	4.390987987
437	4.386381323
438	4.382406342
439	4.3786609
440	4.375902301
441	4.372450483
442	4.368948924
443	4.365619446
444	4.361761461
445	4.358113472
446	4.352624184
447	4.34845877
448	4.343877945
449	4.34044466
450	4.335951344
451	4.332533941
452	4.329132797
453	4.324070155
454	4.319484459
455	4.314770626
456	4.310489154
457	4.306764785
458	4.303075204
459	4.299972429
460	4.29562373
461	4.291692544
462	4.288073853
463	4.284567531
464	4.280389564
465	4.275701926
466	4.271770599
467	4.266739653
468	4.262731079
469	4.260295505
470	4.255926898
471	4.250782494
472	4.246774408
473	4.241325773
474	4.23698039
475	4.234016961
476	4.231279223
477	4.228123339
478	4.223536501
479	4.22090568
480	4.217051829
481	4.21252484
482	4.209268847
483	4.205728799
484	4.200618002
485	4.197344293
486	4.193396696
487	4.190293853
488	4.185167715
489	4.181785259
490	4.178767904
491	4.173514946
492	4.170431463
493	4.16667827
494	4.163180194
495	4.160425521
496	4.157531122
497	4.153451256
498	4.148076682
499	4.142928969
500	4.138403199
501	4.134550288
502	4.131002159
503	4.128937942
504	4.12596687
505	4.12205023
506	4.118549153
507	4.11513881
508	4.114950762
509	4.111801385
510	4.108758751
511	4.105660094
512	4.103877389
513	4.101230488
514	4.099003078
515	4.096805458
516	4.093771208
517	4.089835301
518	4.085737371
519	4.082601685
520	4.079987272
521	4.077539249
522	4.073797854
523	4.070232482
524	4.068631576
525	4.066234146
526	4.062364849
527	4.060483926
528	4.056914934
529	4.054139343
530	4.050321761
531	4.047065247
532	4.044176583
533	4.039641883
534	4.036092577
535	4.032735981
536	4.030616784
537	4.026999316
538	4.024058392
539	4.021389075
540	4.018736715
541	4.015533978
542	4.012572155
543	4.008148673
544	4.006557572
545	4.00320602
546	3.999649901
547	3.995921476
548	3.993792116
549	3.990103752
550	3.987751945
551	3.984617727
552	3.983589664
553	3.979267248
554	3.97624774
555	3.972064536
556	3.968204897
557	3.965164996
558	3.963054138
559	3.959531969
560	3.956016874
561	3.953183107
562	3.949314854
563	3.946428346
564	3.943529738
565	3.940082926
566	3.936872498
567	3.93419081
568	3.932139354
569	3.929348989
570	3.927125955
571	3.924151036
572	3.921962321
573	3.919559972
574	3.916230225
575	3.912651591
576	3.908522255
577	3.90614365
578	3.903368268
579	3.899382356
580	3.896676944
581	3.893452724
582	3.891593185
583	3.888542002
584	3.88488601
585	3.882753987
586	3.880402772
587	3.878538006
588	3.874431181
589	3.873867714
590	3.870958444
591	3.870352429
592	3.867585535
593	3.864499306
594	3.860411707
595	3.858945939
596	3.855809665
597	3.85396762
598	3.853475123
599	3.850431414
600	3.848059811
601	3.846946132
602	3.844385261
603	3.841849009
604	3.838165258
605	3.836713729
606	3.83210895
607	3.830555382
608	3.828315474
609	3.827551661
610	3.825711387
611	3.823322215
612	3.820547912
613	3.819329826
614	3.818824721
615	3.8157063
616	3.815122993
617	3.811295543
618	3.809585372
619	3.807280108
620	3.806767478
621	3.803634763
622	3.80004023
623	3.797301354
624	3.795458975
625	3.793249813
626	3.791038994
627	3.787804494
628	3.786306098
629	3.785242359
630	3.78216865
631	3.779399262
632	3.77861725
633	3.775724403
634	3.773564422
635	3.771948887
636	3.770736189
637	3.769819201
638	3.767743603
639	3.765238688
640	3.764516938
641	3.762158152
642	3.76148734
643	3.7603502
644	3.758009767
645	3.75774903
646	3.755784676
647	3.755262549
648	3.754655171
649	3.75420226
650	3.752086697
651	3.751581684
652	3.74719189
653	3.746436073
654	3.745800554
655	3.744647253
656	3.7433351
657	3.740406863
658	3.737545685
659	3.736934522
660	3.735080573
661	3.732593832
662	3.730752036
663	3.727729146
664	3.727036252
665	3.724008981
666	3.723566625
667	3.722295474
668	3.721880844
669	3.721125376
670	3.720785078
671	3.720377336
672	3.715468122
673	3.714867494
674	3.714188373
675	3.713559622
676	3.709951556
677	3.709015344
678	3.70843237
679	3.70785774
680	3.705402886
681	3.702925624
682	3.700613037
683	3.698852999
684	3.698356062
685	3.697566283
686	3.696943796
687	3.696355236
688	3.695891091
689	3.692071681
690	3.691595998
691	3.687520495
692	3.68691258
693	3.683755943
694	3.681165915
695	3.680135416
696	3.67745569
697	3.676850903
698	3.673708326
699	3.670587491
700	3.667359397
701	3.665513584
702	3.664797
703	3.663425841
704	3.660222947
705	3.659647575
706	3.656837234
707	3.656393747
708	3.653589109
709	3.650935915
710	3.650381021
711	3.647886375
712	3.647174811
713	3.642796959
714	3.640746577
715	3.639113503
716	3.637234358
717	3.636444118
718	3.636038037
719	3.634730546
720	3.632487737
721	3.628036337
722	3.627681939
723	3.624247757
724	3.621622733
725	3.619103206
726	3.616890771
727	3.616514782
728	3.614608684
729	3.612914048
730	3.61237453
731	3.611935488
732	3.609311164
733	3.606315669
734	3.605625863
735	3.602950998
736	3.600566278
737	3.597905403
738	3.597390679
739	3.596879153
740	3.596043355
741	3.593943028
742	3.593618742
743	3.58904785
744	3.588497504
745	3.588155382
746	3.587627354
747	3.583589852
748	3.580929262
749	3.580549149
750	3.578875419
751	3.578468082
752	3.5780953
753	3.575113474
754	3.572737361
755	3.569595821
756	3.568692027
757	3.566169326
758	3.562302956
759	3.559943307
760	3.557418725
761	3.556853969
762	3.553662401
763	3.550598385
764	3.547475616
765	3.547103033
766	3.545061774
767	3.544658419
768	3.544260236
769	3.543411943
770	3.5398215
771	3.53870509
772	3.5383391
773	3.537117909
774	3.536714915
775	3.536315685
776	3.533151355
777	3.532699174
778	3.529834815
779	3.529496436
780	3.526866669
781	3.523685872
782	3.523238144
783	3.521299694
784	3.52093153
785	3.519985017
786	3.517205985
787	3.51692308
788	3.514187313
789	3.511980465
790	3.511253328
791	3.510974613
792	3.51053896
793	3.510204082
794	3.506526134
795	3.505852866
796	3.503935767
797	3.501844443
798	3.49787487
799	3.497503658
800	3.493912258
801	3.491805777
802	3.491382522
803	3.488733611
804	3.48693261
805	3.484166264
806	3.482250173
807	3.479473576
808	3.477538874
809	3.477255025
810	3.476809434
811	3.473193689
812	3.470156347
813	3.467318384
814	3.466953182
815	3.464522886
816	3.462101982
817	3.461260925
818	3.460823171
819	3.458010637
820	3.455830392
821	3.453334358
822	3.450431608
823	3.447806889
824	3.444675696
825	3.444017352
826	3.441297731
827	3.440894989
828	3.439611072
829	3.439252416
830	3.435565796
831	3.434835039
832	3.43449563
833	3.431197995
834	3.429383396
835	3.428991464
836	3.428626497
837	3.424926272
838	3.424578347
839	3.422598924
840	3.420439376
841	3.420111095
842	3.419721568
843	3.417349521
844	3.416643482
845	3.415945171
846	3.414021992
847	3.411261215
848	3.410883468
849	3.408581872
850	3.406907247
851	3.406477207
852	3.406153641
853	3.403493627
854	3.401256344
855	3.400575743
856	3.398671507
857	3.395962449
858	3.393760529
859	3.3934186
860	3.391791799
861	3.389625073
862	3.389336064
863	3.386914101
864	3.383861399
865	3.381858976
866	3.381571686
867	3.381199641
868	3.380867134
869	3.377243539
870	3.374247017
871	3.373589309
872	3.371967978
873	3.37163726
874	3.369973806
875	3.369332221
876	3.367600135
877	3.366903179
878	3.363926018
879	3.36361665
880	3.362991903
881	3.360736645
882	3.360436384
883	3.358034086
884	3.355595478
885	3.353348923
886	3.353001231
887	3.352698687
888	3.352413436
889	3.350078536
890	3.347346846
891	3.345360715
892	3.343045627
893	3.342706663
894	3.342360622
895	3.339759734
896	3.337065852
897	3.336341184
898	3.336008604
899	3.333521986
900	3.333186507
901	3.332856367
902	3.330666867
903	3.330081062
904	3.328189937
905	3.327889106
906	3.325250155
907	3.324924373
908	3.321028137
909	3.318034147
910	3.31576438
911	3.313322846
912	3.313004191
913	3.312684606
914	3.310035719
915	3.309508133
916	3.307171667
917	3.306605117
918	3.304971356
919	3.302746139
920	3.300246241
921	3.297965275
922	3.29765564
923	3.294780626
924	3.294537499
925	3.29250617
926	3.289179836
927	3.28749578
928	3.285597766
929	3.285284396
930	3.284948272
931	3.284388866
932	3.282461388
933	3.279942078
934	3.278198771
935	3.276036167
936	3.275698871
937	3.27333467
938	3.271462114
939	3.268904335
940	3.268653206
941	3.266798629
942	3.266519421
943	3.263681774
944	3.263382846
945	3.260673925
946	3.258379736
947	3.256015101
948	3.254513159
949	3.253178556
950	3.251021093
951	3.250723412
952	3.250043646
953	3.24781777
954	3.247545551
955	3.247230553
956	3.24549823
957	3.245203556
958	3.242018894
959	3.239694412
960	3.2390556
961	3.237472494
962	3.236284371
963	3.23606
964	3.234297488
965	3.234005531
966	3.231551781
967	3.229219994
968	3.228936962
969	3.227118028
970	3.224781971
971	3.222340705
972	3.222060664
973	3.219591277
974	3.21931156
975	3.219036061
976	3.218819859
977	3.216659545
978	3.215992408
979	3.213744548
980	3.211973711
981	3.211721389
982	3.210244629
983	3.209589036
984	3.20929092
985	3.206958808
986	3.206698703
987	3.204967677
988	3.204560449
989	3.202377122
990	3.199995116
991	3.198259719
992	3.198065111
993	3.195740237
994	3.193906381
995	3.191875978
996	3.191670264
997	3.189980938
998	3.189776375
999	3.187638152
1000	3.187153626
1001	3.184588902
1002	3.181664941
1003	3.181191281
1004	3.178694577
1005	3.178225222
1006	3.177628704
1007	3.175149959
1008	3.172797985
1009	3.172540279
1010	3.170775884
1011	3.17019447
1012	3.168458425
1013	3.168276038
1014	3.167704158
1015	3.165469458
1016	3.163707413
1017	3.163453315
1018	3.163258678
1019	3.161129651
1020	3.159313061
1021	3.157272625
1022	3.154451909
1023	3.152782949
1024	3.152550602
1025	3.150943177
1026	3.150670044
1027	3.14862904
1028	3.146694998
1029	3.144571434
1030	3.142924603
1031	3.142740769
1032	3.139801125
1033	3.139542953
1034	3.138242192
1035	3.13618953
1036	3.134531695
