iter	Passed	Remaining
0	4	21907
1	7	16167
2	10	16072
3	14	15946
4	16	15119
5	19	14349
6	21	13801
7	23	13280
8	29	14753
9	32	14540
10	34	14089
11	36	13644
12	38	13277
13	44	14463
14	50	15120
15	52	14852
16	56	14963
17	60	15029
18	62	14810
19	64	14542
20	66	14328
21	69	14310
22	73	14304
23	76	14362
24	78	14151
25	81	14134
26	85	14226
27	91	14669
28	93	14521
29	95	14349
30	97	14178
31	100	14170
32	106	14549
33	110	14533
34	112	14395
35	114	14267
36	119	14466
37	121	14379
38	123	14246
39	126	14126
40	127	13987
41	130	13933
42	134	14051
43	136	13940
44	139	13837
45	141	13731
46	144	13807
47	148	13869
48	150	13788
49	153	13716
50	155	13614
51	158	13633
52	161	13619
53	164	13588
54	166	13540
55	168	13458
56	170	13396
57	174	13455
58	177	13464
59	180	13406
60	182	13331
61	185	13324
62	190	13460
63	192	13404
64	196	13467
65	198	13430
66	200	13367
67	204	13405
68	207	13425
69	210	13368
70	212	13305
71	214	13236
72	216	13175
73	220	13281
74	223	13272
75	226	13259
76	229	13234
77	231	13171
78	235	13253
79	239	13293
80	241	13246
81	243	13184
82	245	13117
83	247	13073
84	251	13109
85	254	13128
86	256	13092
87	258	13050
88	261	13006
89	265	13072
90	268	13091
91	271	13060
92	273	13008
93	274	12959
94	277	12922
95	282	13027
96	285	13011
97	287	12973
98	289	12946
99	292	12919
100	295	12960
101	300	13024
102	304	13063
103	307	13057
104	315	13282
105	317	13242
106	319	13202
107	321	13160
108	325	13183
109	328	13173
110	330	13152
111	332	13110
112	335	13083
113	337	13054
114	341	13088
115	344	13095
116	346	13069
117	348	13021
118	351	12996
119	353	12965
120	357	13024
121	360	13017
122	363	12993
123	365	12961
124	367	12939
125	373	13047
126	377	13068
127	379	13050
128	382	13047
129	387	13093
130	389	13077
131	393	13083
132	395	13072
133	398	13044
134	402	13078
135	405	13093
136	408	13083
137	411	13075
138	413	13046
139	417	13070
140	420	13084
141	423	13078
142	426	13058
143	428	13030
144	430	13015
145	437	13106
146	439	13089
147	441	13039
148	443	13009
149	444	12975
150	449	13024
151	453	13056
152	456	13033
153	458	13005
154	460	12989
155	464	13017
156	468	13037
157	470	13009
158	472	12976
159	474	12949
160	481	13054
161	484	13045
162	486	13023
163	488	12999
164	491	12987
165	495	13016
166	498	13013
167	501	13014
168	504	12998
169	506	12971
170	517	13167
171	519	13145
172	521	13122
173	527	13181
174	530	13174
175	532	13152
176	534	13125
177	538	13149
178	543	13195
179	546	13190
180	548	13169
181	551	13150
182	553	13132
183	562	13258
184	565	13252
185	567	13247
186	571	13248
187	574	13250
188	576	13233
189	579	13208
190	581	13187
191	583	13164
192	586	13163
193	589	13151
194	592	13164
195	596	13166
196	598	13143
197	600	13126
198	604	13130
199	606	13115
200	610	13123
201	612	13101
202	615	13094
203	620	13135
204	624	13151
205	627	13149
206	629	13129
207	634	13166
208	638	13175
209	640	13156
210	642	13140
211	645	13121
212	649	13152
213	654	13178
214	656	13157
215	658	13139
216	661	13120
217	666	13162
218	670	13177
219	673	13172
220	675	13156
221	683	13241
222	685	13229
223	688	13209
224	692	13228
225	701	13348
226	704	13335
227	707	13324
228	712	13364
229	715	13349
230	717	13328
231	719	13303
232	721	13280
233	736	13506
234	748	13669
235	751	13651
236	754	13640
237	758	13666
238	761	13659
239	764	13647
240	767	13638
241	780	13804
242	784	13822
243	789	13839
244	798	13943
245	807	14046
246	811	14051
247	813	14034
248	816	14015
249	819	14016
250	823	14027
251	826	14008
252	828	13986
253	830	13966
254	832	13943
255	839	13987
256	841	13974
257	843	13954
258	845	13929
259	847	13907
260	853	13942
261	856	13931
262	859	13923
263	861	13900
264	863	13885
265	868	13895
266	872	13911
267	874	13890
268	881	13947
269	884	13931
270	886	13910
271	889	13901
272	900	14018
273	903	14011
274	907	14015
275	913	14060
276	916	14044
277	918	14032
278	922	14028
279	926	14043
280	929	14028
281	932	14023
282	935	14019
283	939	14033
284	943	14035
285	946	14019
286	949	14013
287	954	14035
288	956	14023
289	959	14006
290	967	14080
291	972	14095
292	974	14074
293	976	14050
294	979	14037
295	981	14024
296	985	14027
297	989	14025
298	991	14015
299	997	14038
300	1001	14053
301	1004	14036
302	1006	14016
303	1007	13992
304	1011	13992
305	1017	14021
306	1019	14004
307	1021	13982
308	1023	13966
309	1029	13994
310	1032	13982
311	1034	13966
312	1036	13942
313	1038	13922
314	1043	13949
315	1046	13940
316	1048	13918
317	1050	13895
318	1052	13875
319	1054	13851
320	1059	13869
321	1062	13862
322	1064	13838
323	1065	13816
324	1067	13795
325	1070	13784
326	1073	13773
327	1075	13763
328	1079	13766
329	1081	13750
330	1084	13735
331	1090	13765
332	1092	13752
333	1094	13730
334	1096	13707
335	1098	13697
336	1101	13689
337	1105	13693
338	1108	13685
339	1110	13669
340	1112	13647
341	1114	13626
342	1117	13627
343	1121	13622
344	1124	13616
345	1126	13603
346	1129	13593
347	1132	13592
348	1135	13588
349	1138	13579
350	1140	13560
351	1142	13544
352	1144	13527
353	1148	13526
354	1151	13527
355	1154	13515
356	1156	13497
357	1158	13481
358	1160	13465
359	1164	13472
360	1167	13467
361	1170	13452
362	1172	13436
363	1174	13418
364	1177	13415
365	1179	13404
366	1183	13404
367	1185	13393
368	1188	13378
369	1190	13362
370	1195	13387
371	1198	13382
372	1200	13364
373	1202	13347
374	1204	13330
375	1210	13353
376	1213	13346
377	1215	13336
378	1221	13355
379	1228	13397
380	1230	13385
381	1233	13373
382	1235	13358
383	1241	13381
384	1243	13372
385	1246	13359
386	1249	13357
387	1258	13411
388	1260	13403
389	1262	13386
390	1265	13374
391	1267	13364
392	1270	13357
393	1274	13358
394	1277	13355
395	1280	13347
396	1283	13344
397	1286	13339
398	1289	13335
399	1292	13327
400	1295	13320
401	1298	13316
402	1302	13317
403	1305	13308
404	1307	13300
405	1310	13289
406	1312	13276
407	1320	13321
408	1323	13311
409	1325	13301
410	1327	13286
411	1331	13285
412	1334	13287
413	1337	13275
414	1338	13256
415	1341	13243
416	1343	13227
417	1346	13226
418	1351	13236
419	1353	13225
420	1355	13210
421	1357	13194
422	1359	13176
423	1362	13175
424	1366	13176
425	1369	13169
426	1371	13159
427	1373	13147
428	1377	13150
429	1380	13147
430	1382	13132
431	1384	13118
432	1386	13100
433	1388	13086
434	1393	13099
435	1395	13087
436	1398	13075
437	1399	13058
438	1401	13041
439	1403	13024
440	1407	13028
441	1410	13025
442	1412	13014
443	1414	12999
444	1416	12985
445	1418	12970
446	1423	12979
447	1426	12975
448	1428	12960
449	1430	12948
450	1431	12931
451	1434	12924
452	1438	12926
453	1441	12918
454	1443	12906
455	1445	12892
456	1447	12880
457	1449	12866
458	1452	12863
459	1455	12857
460	1458	12857
461	1463	12867
462	1467	12869
463	1470	12871
464	1473	12858
465	1475	12847
466	1477	12833
467	1479	12820
468	1483	12826
469	1486	12818
470	1489	12813
471	1491	12803
472	1494	12796
473	1498	12806
474	1502	12805
475	1504	12797
476	1507	12787
477	1509	12775
478	1512	12775
479	1516	12775
480	1519	12769
481	1521	12756
482	1523	12745
483	1525	12732
484	1529	12736
485	1532	12730
486	1534	12718
487	1536	12707
488	1538	12693
489	1540	12680
490	1545	12695
491	1549	12695
492	1551	12685
493	1553	12674
494	1557	12676
495	1565	12711
496	1568	12706
497	1570	12693
498	1573	12692
499	1577	12696
500	1579	12684
501	1581	12674
502	1583	12661
503	1585	12647
504	1588	12644
505	1593	12651
506	1595	12641
507	1597	12628
508	1597	12604
509	1599	12592
510	1601	12580
511	1606	12584
512	1608	12579
513	1611	12570
514	1613	12557
515	1614	12544
516	1618	12547
517	1623	12557
518	1626	12548
519	1628	12536
520	1629	12523
521	1632	12516
522	1637	12523
523	1639	12514
524	1641	12504
525	1643	12493
526	1646	12487
527	1650	12495
528	1653	12490
529	1657	12487
530	1659	12479
531	1661	12467
532	1664	12467
533	1667	12462
534	1670	12453
535	1672	12442
536	1674	12432
537	1676	12420
538	1679	12418
539	1682	12414
540	1685	12406
541	1687	12398
542	1690	12390
543	1694	12393
544	1697	12393
545	1700	12389
546	1702	12379
547	1704	12368
548	1706	12358
549	1713	12381
550	1716	12375
551	1718	12365
552	1720	12356
553	1723	12349
554	1729	12370
555	1732	12363
556	1734	12354
557	1737	12345
558	1741	12349
559	1746	12363
560	1748	12353
561	1750	12343
562	1753	12333
563	1757	12337
564	1761	12340
565	1764	12337
566	1766	12328
567	1769	12321
568	1773	12329
569	1776	12321
570	1778	12310
571	1780	12300
572	1782	12291
573	1786	12291
574	1789	12287
575	1791	12279
576	1793	12269
577	1795	12259
578	1798	12252
579	1802	12256
580	1805	12250
581	1807	12242
582	1809	12232
583	1811	12222
584	1814	12219
585	1818	12221
586	1821	12216
587	1823	12206
588	1825	12198
589	1828	12189
590	1833	12200
591	1836	12200
592	1839	12192
593	1841	12184
594	1843	12174
595	1846	12171
596	1849	12163
597	1852	12164
598	1857	12170
599	1859	12162
600	1866	12183
601	1869	12178
602	1871	12167
